date,sample,GAN_ours_default_9seed,GAN_ours_tf_faithful,GAN_authors_checkpoints_ported,LS,Ridge
1990-11-30,valid,0.011076,0.002419,0.008685,0.905515,0.826640
1990-12-31,valid,0.018748,0.010961,0.012805,0.651596,0.876116
1991-01-31,valid,-0.004261,0.006868,0.003633,1.277923,0.135758
1991-02-28,valid,0.000067,0.011838,0.004255,-0.540650,-0.347554
1991-03-28,valid,0.004442,0.014024,0.011111,0.565588,0.065696
1991-04-30,valid,0.021984,0.015198,0.017432,0.660841,0.875880
1991-05-31,valid,0.013340,0.010216,0.013720,0.838624,0.991816
1991-06-28,valid,0.003004,-0.000983,0.003079,0.929382,0.459768
1991-07-31,valid,0.013321,0.016191,0.021832,1.128769,0.838830
1991-08-30,valid,-0.004969,0.010589,0.003349,-0.933936,-0.566526
1991-09-30,valid,0.002338,0.005203,0.008102,0.394835,0.270833
1991-10-31,valid,0.000764,0.013964,0.007734,-1.388712,-0.041007
1991-11-29,valid,0.001727,0.006772,-0.001820,-0.510230,-0.341085
1991-12-31,valid,0.021627,0.022188,0.028841,0.643800,1.376356
1992-01-31,test,0.030933,0.041776,0.036178,0.810669,0.177197
1992-02-28,test,-0.008291,-0.007533,-0.009591,0.452835,-0.527833
1992-03-31,test,0.015857,0.006664,0.005358,0.546710,0.669249
1992-04-30,test,0.014516,-0.000688,0.013503,1.155872,0.910550
1992-05-29,test,0.001644,0.009720,0.009620,0.779761,0.640126
1992-06-30,test,0.007354,0.001972,0.010903,1.129368,0.869724
1992-07-31,test,0.017067,0.013361,0.013105,1.504338,1.115337
1992-08-31,test,0.011870,0.009388,0.013483,0.909518,0.660300
1992-09-30,test,0.011617,0.018585,0.014190,0.512487,0.446148
1992-10-30,test,0.003721,0.007346,0.004399,0.584668,0.731652
1992-11-30,test,0.008638,0.016875,0.012780,0.934082,0.364730
1992-12-31,test,0.018984,0.026717,0.018213,1.694807,1.333269
1993-01-29,test,0.023727,0.037539,0.028490,1.987124,1.200034
1993-02-26,test,0.012147,0.014626,0.014022,1.056928,0.453296
1993-03-31,test,0.021414,0.018325,0.020858,0.908656,0.961391
1993-04-30,test,0.009259,0.006414,0.011183,1.106852,0.453335
1993-05-28,test,-0.004489,0.008758,0.001998,-0.214338,-0.202569
1993-06-30,test,0.014751,0.014706,0.018124,0.742482,0.552861
1993-07-30,test,0.006602,0.009467,0.011096,0.690719,0.301051
1993-08-31,test,0.024953,0.018345,0.014872,1.690750,1.158658
1993-09-30,test,0.007901,0.012187,0.010167,0.653647,0.845488
1993-10-29,test,-0.000636,0.005142,-0.001911,0.401804,-0.117251
1993-11-30,test,-0.005389,-0.003266,-0.004795,0.158156,0.160144
1993-12-31,test,0.022668,0.021845,0.019156,1.460173,1.244473
1994-01-31,test,0.020527,0.024577,0.018360,0.055325,0.628901
1994-02-28,test,0.002116,0.001484,0.001590,0.107672,-0.228388
1994-03-31,test,0.007022,0.006926,0.011790,1.129247,0.581964
1994-04-29,test,0.015099,0.015957,0.017508,1.077387,0.983998
1994-05-31,test,0.001909,0.001823,0.004568,-0.366087,0.010117
1994-06-30,test,0.012382,0.003381,0.014058,0.769551,0.949914
1994-07-29,test,0.008736,0.009373,0.006197,-0.039355,0.240410
1994-08-31,test,0.012238,0.014113,0.011591,0.402190,0.717332
1994-09-30,test,0.006339,0.008008,0.009263,0.678930,0.801428
1994-10-31,test,0.007029,0.013044,0.008206,0.800762,0.653742
1994-11-30,test,0.004257,0.004285,0.010816,0.641463,1.025356
1994-12-30,test,0.019106,0.020650,0.021820,1.180148,0.733162
1995-01-31,test,0.010459,0.016134,0.014694,1.279597,1.168151
1995-02-28,test,0.014999,0.017597,0.015626,0.053595,0.535518
1995-03-31,test,0.014229,0.017760,0.014567,0.397698,0.477702
1995-04-28,test,0.009896,0.018797,0.014576,0.216046,0.227050
1995-05-31,test,0.004991,0.008584,0.006569,-0.104927,0.114994
1995-06-30,test,0.005216,0.009054,0.012955,0.781333,0.539077
1995-07-31,test,0.011371,0.013426,0.016932,0.536524,0.624349
1995-08-31,test,0.010086,0.017335,0.011460,0.787160,0.708788
1995-09-29,test,0.013159,0.012577,0.014443,-0.158740,0.451231
1995-10-31,test,0.015865,0.003268,0.014191,1.124112,1.079342
1995-11-30,test,0.016996,0.008691,0.017471,0.181488,0.595298
1995-12-29,test,0.011488,0.008336,0.019614,0.790302,1.174921
1996-01-31,test,0.009803,0.008651,0.017715,-0.081654,0.203420
1996-02-29,test,0.007663,0.016600,0.011933,0.579062,0.359640
1996-03-29,test,0.000118,0.006189,0.003064,-0.536048,-0.159310
1996-04-30,test,-0.002869,0.015133,-0.001141,0.338703,-0.332605
1996-05-31,test,-0.003294,0.013105,0.001832,-0.764734,-0.242222
1996-06-28,test,0.012178,0.002772,0.010427,1.401661,1.165175
1996-07-31,test,0.011366,-0.002297,0.017038,1.125315,0.875038
1996-08-30,test,0.016031,0.019705,0.013845,0.928243,0.598319
1996-09-30,test,0.004735,0.007738,0.009327,0.185784,0.260056
1996-10-31,test,0.020886,0.019176,0.018402,1.215232,1.119247
